Country,Continent,Year,Rank
India,Asia,2020,2
South Africa,Africa,2020,1
Malaysia,Asia,2020,3
Egypt,Africa,2020,4
Indonesia,Asia,2020,6
Philippines,Asia,2020,5
Morocco,Africa,2020,7
Vietnam,Asia,2020,9
Tunisia,Africa,2020,8
Kenya,Africa,2020,10
India,Asia,2021,1
South Africa,Africa,2021,2
Malaysia,Asia,2021,3
Egypt,Africa,2021,4
Indonesia,Asia,2021,5
Philippines,Asia,2021,6
Morocco,Africa,2021,7
Vietnam,Asia,2021,8
Tunisia,Africa,2021,9
Kenya,Africa,2021,10
India,Asia,2022,2
South Africa,Africa,2022,1
Malaysia,Asia,2022,3
Egypt,Africa,2022,4
Indonesia,Asia,2022,6
Philippines,Asia,2022,5
Morocco,Africa,2022,7
Vietnam,Asia,2022,9
Tunisia,Africa,2022,8
Kenya,Africa,2022,10
India,Asia,2023,1
South Africa,Africa,2023,2
Malaysia,Asia,2023,3
Egypt,Africa,2023,4
Indonesia,Asia,2023,6
Philippines,Asia,2023,5
Morocco,Africa,2023,7
Vietnam,Asia,2023,9
Tunisia,Africa,2023,8
Kenya,Africa,2023,10
