Country,TotalNetWorth(B),Latitude,Longitude
United States,4398.4,39.7837304,-100.445882
France,512.2,46.603354,1.8883335
India,596.4,22.3511148,78.6677428
Spain,137.0,39.3260685,-4.8379791
China,2531.9,25.491579899999998,-98.98111150455688
Mexico,136.1,19.4326296,-99.1331785
Japan,225.4,36.5748441,139.2394179
Canada,231.1,61.0666922,-107.991707
Germany,625.5,40.4203479,-79.1166983
Italy,204.5,42.6384261,12.674297
Hong Kong,448.2,22.2793278,114.1628131
Russia,586.0,40.2338211,-84.4096729
Austria,62.7,47.59397,14.12456
Australia,181.5,-24.7761086,134.755
Chile,42.7,-31.7613365,-71.3187697
Singapore,156.9,1.357107,103.8194992
Sweden,182.0,44.133435,-70.822678
Indonesia,85.0,-2.4833826,117.8902853
Thailand,105.4,13.03876215,101.70017611907599
Czechia,41.4,49.7439047,15.3381061
United Kingdom,213.9,54.7023545,-3.2765753
Brazil,211.7,-10.3333333,-53.2
Netherlands,43.8,52.2434979,5.6343227
Ireland,42.9,52.865196,-7.9794599
South Korea,121.4,36.638392,127.6961188
Denmark,61.3,55.670249,10.3333283
Malaysia,68.0,4.5693754,102.2656823
Nigeria,22.5,9.6000359,7.9999721
Israel,73.0,39.3181528,-79.8109014
Colombia,26.2,4.099917,-72.9088133
Switzerland,145.5,46.7985624,8.2319736
Cyprus,18.1,34.9174159,32.889902651331866
Belgium,12.6,50.6402809,4.6667145
New Zealand,11.1,-41.5000831,172.8344077
Egypt,18.4,35.8681298,-90.9456751
South Africa,22.1,-28.8166236,24.991639
Ukraine,18.9,49.4871968,31.2718321
Greece,13.9,43.2097838,-77.6930602
Vietnam,16.7,15.9266657,107.9650855
Philippines,45.6,12.7503486,122.7312101
Taiwan,115.6,23.5983227,120.83537694479215
Finland,16.5,63.2467777,25.9209164
Norway,38.3,64.5731537,11.52803643954819
Turkey,55.2,38.9597594,34.9249653
Argentina,15.3,-34.9964963,-64.9672817
Romania,7.7,45.9852129,24.6859225
Liechtenstein,5.5,47.1416307,9.5531527
Peru,11.4,-6.8699697,-75.0458515
Georgia,8.0,32.3293809,-83.1137366
Algeria,4.8,28.0000272,2.9999825
Portugal,7.2,39.6621648,-8.1353519
Eswatini (Swaziland),4.7,-26.5624806,31.3991317
Kazakhstan,16.9,48.1012954,66.7780818
Poland,20.3,52.215933,19.134422
United Arab Emirates,11.0,24.0002488,53.9994829
Venezuela,3.2,8.0018709,-66.1109318
Macao,3.1,22.1899448,113.5380454
Guernsey,2.6,49.4566233,-2.5822348
Lebanon,10.8,40.375713,-76.4626118
Oman,2.3,42.2679001,26.9246399
Iceland,3.2,64.9841821,-18.1059013
Monaco,4.8,43.7323492,7.4276832
Morocco,3.2,28.3347722,-10.371337908392647
Slovakia,2.9,48.7411522,19.4528646
Qatar,2.9,39.1074426,47.5061085
Tanzania,1.6,-6.5247123,35.7878438
St. Kitts and Nevis,1.6,17.250512,-62.6725973
Zimbabwe,1.5,-18.4554963,29.7468414
Hungary,2.7,41.9767629,-72.7789842
Nepal,1.4,-6.4955532,110.8440229
